Vitron,"Vitron HTC4388FS - 43"" Smart  Android Frameless TV - Black (1YR WRTY)","KSh 19,499",32%,4 out of 5,14)
AILYONS,AILYONS HD-199A Electric Dry Iron Box Silver & Black (1YR WRTY),KSh 899,36%,3.9 out of 5,197 items left,8
Generic,22 Teeth Heavy Duty Steel Garden Rake Head Lawn Spring Leaves Deciduous Grass Weeds Cleaner,"KSh 1,034",48%,5 out of 5,96 items left,(1)
Generic,"2pcs Smoke Alarm + Carbon Monoxide Alarm Combo LCD Digital Display CO Alarm Applicable to Home, Warehouse","KSh 2,699",46%,4.5 out of 5,24 items left,(2)
Generic,Leather Safety Gloves Gardening Protective Carrying Factory Working,KSh 764,49%,4.1 out of 5,44 items left,(7)
JINGBA,"JINGBA Knee Brace, Adjustable Knee Support Wrap For Knee Pain, Arthritis, ACL, MCL, Joint Pain Relief, Meniscus Tear, Sports",KSh 990,55%,4 out of 5,87 items left,46)
Lyons,Lyons FY-1731 Blender 2 In 1 With Grinder Machines  1.5L,"KSh 1,599",38%,4 out of 5,169 items left,70)
Generic,Kitchen Faucet Filter Home Water Tap Purifier Remove Harmful Substance Sink Mount Cleaner,"KSh 2,699",44%,No rating,16 items left,No reviews
Vision Plus,"Vision Plus 3 In 1 Cable, 1M - Black",KSh 380,24%,5 out of 5,74 items left,(1)
Generic,11pcs Tubeless Tyre Tire Puncture Repair Kit Patch,KSh 629,48%,4.4 out of 5,180 items left,(8)
Flynova PRO,Flynova PRO Flying Magic Ball Spinner Boomerang Adult Fidget LED Light,"KSh 1,274",54%,No rating,47 items left,No reviews
Generic,2pcs Set Car Dent Puller Body Repair Kit Accident Lift  Strong Suction Cup Opening Tool Glass Screen,"KSh 1,619",54%,No rating,38 items left,No reviews
Generic,"Heavy Duty PVC Vinyl Pipe Cutter With Metal Handle 1-5/8"" (42mm) - Professional High Quality Blade 3 Times Longer PPR/PE/Poly Pipes Tube Cutter PEX Tube Tubing Hose Ratchet Style Up","KSh 1,329",47%,5 out of 5,17 items left,(1)
