Brand,Product Name,Price,Discount,Rating,Stock,Review,Popularity Score
Maybelline,"Maybelline Lifter Gloss Hydrating Lip Gloss With Hyaluronic Acid, Stone",1700.0,15%,4.7,47 items left,98.0,460.6
Maybelline,"Maybelline Lifter Gloss Hydrating Lip Gloss With Hyaluronic Acid, Moon",1700.0,15%,4.7,48 items left,93.0,437.1
Maybelline,"Maybelline Lifter Gloss Hydrating Lip Gloss With Hyaluronic Acid, Silk",2000.0,No discount,4.4,37 items left,39.0,171.60000000000002
Maybelline New York,Maybelline New York Superstay Skin  Tint Shade 66 With Vitamin C,1599.0,36%,4.8,75 items left,20.0,96.0
Maybelline New York,Maybelline New York SuperStay Skin  Tint Shade 78 With Vitamin C,1469.0,41%,4.5,57 items left,21.0,94.5
SADOER,SADOER Exfoliator Foot Mask Exfoliating Feet Mask SOCKS_,189.0,37%,3.8,88 items left,17.0,64.6
NIVEA,NIVEA Pearl & Beauty For Women 48h,200.0,25%,4.5,57 items left,13.0,58.5
Maybelline New York,Maybelline New York Superstay Skin Tint Shade  77 With Vitamin C,1469.0,41%,4.8,131 items left,12.0,57.599999999999994
Maybelline New York,Maybelline New York Superstay Skin Tint Shade  63 With Vitamin C,1539.0,38%,4.7,135 items left,11.0,51.7
Maybelline New York,Maybelline New York Superstay Skin Tint Shade  67 With Vitamin C,1469.0,41%,4.6,55 items left,10.0,46.0
NIVEA,"NIVEA Pearl & Beauty Black Pearl Fine Fragrance Anti-Perspirant Roll-On, 48h - 50ml (Pack Of 2)",658.0,37%,4.5,33 items left,8.0,36.0
Derma Roller,Derma Roller Beard Growth 0.5mm Derma Roller System+ Free  Gift Aichun Beard Growth Essential Oil,759.0,24%,4.4,69 items left,8.0,35.2
NIVEA MEN,NIVEA MEN Men Shower Active Clean For Men,452.0,4%,4.6,59 items left,7.0,32.199999999999996
NIVEA,NIVEA Perfect & Radiant Detox Skin Care Pack,2250.0,25%,4.5,50 items left,7.0,31.5
NIVEA,NIVEA Shea Smooth Body Lotion - 100ml,182.0,8%,4.8,61 items left,6.0,28.799999999999997
Garnier,Garnier Bye Acne & Dark Spots Skin Care Kit.,2399.0,45%,4.3,168 items left,6.0,25.799999999999997
Garnier,Garnier AHA+BHA Charcoal Serum + Pure Active 3-in-1 Charcoal Mask (Anti Acne Skin Care Kit),1652.0,48%,4.4,322 items left,5.0,22.0
NIVEA,NIVEA Waterlily & Oil Shower Gel For Women 250ml (Pack Of 2),833.0,30%,4.6,119 items left,4.0,18.4
Garnier,Garnier Bright Complete Bundle Pack,2040.0,40%,4.5,407 items left,4.0,18.0
L'Oreal,L'Oreal GLYCOLIC BRIGHT FACE CLEANSER FOAM 100ML,538.0,37%,4.4,294 items left,4.0,17.6
NIVEA,NIVEA Perfect & Radiant Even Tone Day Cream SPF 15 For Women-50ml,630.0,30%,4.4,29 items left,4.0,17.6
L'Oreal,L'Oreal GLYCOLIC BRIGHT INSTANT GLOWING SERUM 30ML,1379.0,40%,4.6,199 items left,3.0,13.799999999999999
NIVEA MEN,NIVEA MEN Black & White Original Anti-Perspirant Spray 48h - 150ml (Pack Of 2).,1080.0,25%,4.6,51 items left,2.0,9.2
Maybelline,Maybelline Superstay Matte Ink Liquid Lipstick - 20 Pioneer,1699.0,29%,4.5,277 items left,2.0,9.0
Maybelline New York,Maybelline New York Hydrating Lifter Gloss Gummy Bear Shade,1615.0,19%,2.3,4 items left,3.0,6.8999999999999995
Garnier,Garnier Vitamin C Booster Serum 30ml Twin Pack,1899.0,46%,4.5,397 items left,1.0,4.5
L'Oreal,L'Oreal GLYCOLIC BRIGHT INSTANT GLOWING SERUM 15ML,1076.0,37%,4.4,124 items left,0.0,0.0
Maybelline,"Maybelline Lifter Gloss Hydrating Lip Gloss With Hyaluronic Acid, Ice",1700.0,15%,4.7,245 items left,0.0,0.0
Garnier,Garnier Even & Matte Vitamin C  Booster Serum 15ml,610.0,32%,4.1,360 items left,,
Garnier,Garnier Even & Matte Vitamin C Protection Cream SPF30 50ml,678.0,46%,4.2,998 items left,,
Garnier,Garnier Even & Matte Vitamin C Cleansing Foam,560.0,32%,4.4,989 items left,,
Garnier,Garnier Even & Matte Dark Spot Corrector,849.0,22%,,658 items left,60.0,
NIVEA,NIVEA UV Face Shine Control Cream SPF 50 - 50ml,849.0,35%,4.4,480 items left,,
SADOER,"SADOER Lactobionic Acid , Pore Shrinking Repair Essence",333.0,52%,,19 items left,1.0,
Garnier,Garnier Even & Matte Normal To Oily Skin Face Moisturizer – 40ml,609.0,44%,3.8,122 items left,,
NIVEA,"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)",728.0,30%,4.5,54 items left,,
Garnier,Garnier Pure Active 3 In1 Charcoal  Anti  Blackhead Mask Wash Scrub -  150ml,799.0,41%,4.4,705 items left,,
Garnier,Garnier Even & Matte Vitamin  C Micellar Cleansing Water - 400ml,479.0,38%,4.5,238 items left,,
Maybelline,Maybelline Lasting Fix Setting Spray,1844.0,17%,4.5,662 items left,,
Maybelline,Maybelline Superstay Matte Ink Lipstick 50 Voyager,1699.0,29%,4.4,113 items left,,
